School Code,School Name,School Type,Town,State,Grade,District Name,District Code,PK_Enrollment,K_Enrollment,1_Enrollment,2_Enrollment,3_Enrollment,4_Enrollment,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,% First Language Not English,% English Language Learner,% Students With Disabilities,% High Needs,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil
10505,Abington High,Public School,Abington,MA,"09,10,11,12",Abington,10000,0,0,0,0,0,0,0,0,0,0,124,109,123,92,4,5.3,2.4,9.7,28.8,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,15.8,451.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84
10003,Beaver Brook Elementary School,Public School,Abington,MA,"01,02,03,04",Abington,10000,0,0,125,164,148,143,0,0,0,0,0,0,0,0,0,10.5,7.2,13.3,37.1,23.3,1.9,1.9,6.7,88.4,0.5,0.2,0.3,50.2,49.8,24.6,643.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84
10002,Center Elementary School,Public School,Abington,MA,"PK,K",Abington,10000,69,134,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,3.0,21.2,34.0,16.3,3.9,3.0,8.4,84.7,0.0,0.0,0.0,54.2,45.8,14.6,208.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84
10405,Frolio Middle School,Public School,Abington,MA,"07,08",Abington,10000,0,0,0,0,0,0,0,0,159,169,0,0,0,0,0,5.5,1.8,13.1,30.8,21.6,2.4,1.8,6.1,89.3,0.0,0.0,0.3,53.4,46.6,21.1,342.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84
10015,Woodsdale Elementary School,Public School,Abington,MA,"05,06",Abington,10000,0,0,0,0,0,0,180,173,0,0,0,0,0,0,0,5.9,2.0,10.8,30.6,22.7,2.0,1.4,4.2,92.1,0.0,0.0,0.3,50.7,49.3,30.4,334.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84
30025,Acushnet Elementary School,Public School,Acushnet,MA,"PK,K,01,02,03,04",Acushnet,30000,50,84,99,102,107,96,0,0,0,0,0,0,0,0,0,0.6,0.4,14.3,35.5,25.3,0.7,0.2,3.3,92.8,0.2,0.0,2.8,53.2,46.8,20.1,558.0,4543438.0,64906.0,70.0,10825382.24,967.5,11189.03,15201154.44,1281.7,11860.15
30305,Albert F Ford Middle School,Public School,Acushnet,MA,"05,06,07,08",Acushnet,30000,0,0,0,0,0,0,105,121,77,114,0,0,0,0,0,1.0,0.5,13.7,29.3,19.7,0.7,0.2,1.0,97.4,0.0,0.0,0.7,50.8,49.2,16.9,426.0,4543438.0,64906.0,70.0,10825382.24,967.5,11189.03,15201154.44,1281.7,11860.15
50003,Agawam Early Childhood Center,Public School,Agawam,MA,PK,Agawam,50000,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.0,41.1,51.7,29.8,4.6,8.6,12.6,71.5,0.0,0.0,2.6,57.6,42.4,11.9,191.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21
50505,Agawam High,Public School,Agawam,MA,"09,10,11,12",Agawam,50000,0,0,0,0,0,0,0,0,0,0,299,309,293,315,6,4.6,1.3,14.1,32.0,22.7,1.2,2.2,5.8,88.8,0.0,0.1,1.9,52.0,48.0,16.8,1242.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21
50405,Agawam Junior High,Public School,Feeding Hills,MA,"07,08",Agawam,50000,0,0,0,0,0,0,0,0,253,309,0,0,0,0,0,6.2,1.1,14.9,34.5,23.3,1.4,1.4,7.1,87.0,0.0,0.0,3.0,47.9,52.1,11.8,607.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21
